Y	1div10	1	10
   2.4287644e+00	   1.3240621e+00	   1.4627762e+00	   2.0963348e+00	
   2.4569165e+00	   1.3286477e+00	   1.4678422e+00	   2.1035951e+00	
   2.4853949e+00	   1.3332492e+00	   1.4729258e+00	   2.1108805e+00	
   2.5142033e+00	   1.3378667e+00	   1.4780271e+00	   2.1181912e+00	
   2.5433458e+00	   1.3425002e+00	   1.4831459e+00	   2.1255271e+00	
   2.5728260e+00	   1.3471497e+00	   1.4882825e+00	   2.1328885e+00	
   2.6026479e+00	   1.3518153e+00	   1.4934369e+00	   2.1402754e+00	
   2.6328155e+00	   1.3564971e+00	   1.4986092e+00	   2.1476878e+00	
   2.6633327e+00	   1.3611950e+00	   1.5037993e+00	   2.1551260e+00	
   2.6942037e+00	   1.3659093e+00	   1.5090075e+00	   2.1625898e+00	
   2.7254325e+00	   1.3706399e+00	   1.5142337e+00	   2.1700796e+00	
   2.7570233e+00	   1.3753868e+00	   1.5194779e+00	   2.1775953e+00	
   2.7889803e+00	   1.3801502e+00	   1.5247404e+00	   2.1851370e+00	
   2.8213077e+00	   1.3849301e+00	   1.5300210e+00	   2.1927048e+00	
   2.8540098e+00	   1.3897266e+00	   1.5353200e+00	   2.2002988e+00	
   2.8870909e+00	   1.3945396e+00	   1.5406373e+00	   2.2079192e+00	
   2.9205555e+00	   1.3993694e+00	   1.5459730e+00	   2.2155659e+00	
   2.9544080e+00	   1.4042158e+00	   1.5513272e+00	   2.2232391e+00	
   2.9886529e+00	   1.4090791e+00	   1.5566999e+00	   2.2309389e+00	
   3.0232947e+00	   1.4139592e+00	   1.5620913e+00	   2.2386653e+00	
   3.0583380e+00	   1.4188562e+00	   1.5675013e+00	   2.2464185e+00	
   3.0937876e+00	   1.4237701e+00	   1.5729301e+00	   2.2541986e+00	
   3.1296480e+00	   1.4287011e+00	   1.5783776e+00	   2.2620056e+00	
   3.1659241e+00	   1.4336491e+00	   1.5838440e+00	   2.2698397e+00	
   3.2026207e+00	   1.4386143e+00	   1.5893294e+00	   2.2777008e+00	
   3.2397426e+00	   1.4435967e+00	   1.5948337e+00	   2.2855892e+00	
   3.2772948e+00	   1.4485963e+00	   1.6003572e+00	   2.2935050e+00	
   3.3152823e+00	   1.4536133e+00	   1.6058997e+00	   2.3014481e+00	
   3.3537102e+00	   1.4586476e+00	   1.6114615e+00	   2.3094188e+00	
   3.3925834e+00	   1.4636994e+00	   1.6170425e+00	   2.3174170e+00	
   3.4319072e+00	   1.4687686e+00	   1.6226428e+00	   2.3254430e+00	
   3.4716868e+00	   1.4738554e+00	   1.6282625e+00	   2.3334967e+00	
   3.5119275e+00	   1.4789599e+00	   1.6339017e+00	   2.3415783e+00	
   3.5526347e+00	   1.4840820e+00	   1.6395604e+00	   2.3496880e+00	
   3.5938137e+00	   1.4892218e+00	   1.6452388e+00	   2.3578257e+00	
   3.6354700e+00	   1.4943795e+00	   1.6509367e+00	   2.3659916e+00	
   3.6776091e+00	   1.4995550e+00	   1.6566545e+00	   2.3741858e+00	
   3.7202367e+00	   1.5047484e+00	   1.6623920e+00	   2.3824083e+00	
   3.7633584e+00	   1.5099599e+00	   1.6681494e+00	   2.3906594e+00	
   3.8069799e+00	   1.5151893e+00	   1.6739267e+00	   2.3989390e+00	
   3.8511070e+00	   1.5204369e+00	   1.6797240e+00	   2.4072473e+00	
   3.8957456e+00	   1.5257027e+00	   1.6855415e+00	   2.4155843e+00	
   3.9409016e+00	   1.5309867e+00	   1.6913790e+00	   2.4239503e+00	
   3.9865811e+00	   1.5362890e+00	   1.6972368e+00	   2.4323452e+00	
   4.0327900e+00	   1.5416096e+00	   1.7031149e+00	   2.4407692e+00	
   4.0795345e+00	   1.5469487e+00	   1.7090133e+00	   2.4492223e+00	
   4.1268208e+00	   1.5523063e+00	   1.7149322e+00	   2.4577048e+00	
   4.1746553e+00	   1.5576824e+00	   1.7208715e+00	   2.4662166e+00	
   4.2230442e+00	   1.5630772e+00	   1.7268315e+00	   2.4747579e+00	
   4.2719940e+00	   1.5684906e+00	   1.7328120e+00	   2.4833288e+00	
   4.3215111e+00	   1.5739228e+00	   1.7388133e+00	   2.4919293e+00	
   4.3716022e+00	   1.5793738e+00	   1.7448354e+00	   2.5005597e+00	
   4.4222740e+00	   1.5848436e+00	   1.7508783e+00	   2.5092199e+00	
   4.4735331e+00	   1.5903325e+00	   1.7569421e+00	   2.5179101e+00	
   4.5253863e+00	   1.5958403e+00	   1.7630270e+00	   2.5266305e+00	
   4.5778405e+00	   1.6013672e+00	   1.7691329e+00	   2.5353810e+00	
   4.6309028e+00	   1.6069132e+00	   1.7752600e+00	   2.5441618e+00	
   4.6845801e+00	   1.6124785e+00	   1.7814083e+00	   2.5529731e+00	
   4.7388796e+00	   1.6180630e+00	   1.7875779e+00	   2.5618148e+00	
   4.7938085e+00	   1.6236669e+00	   1.7937688e+00	   2.5706872e+00	
   4.8493741e+00	   1.6292902e+00	   1.7999812e+00	   2.5795903e+00	
   4.9055837e+00	   1.6349329e+00	   1.8062151e+00	   2.5885242e+00	
   4.9624449e+00	   1.6405952e+00	   1.8124706e+00	   2.5974891e+00	
